ตาราง 21.12 ปริมาณฝน จำแนกตามสถานีตรวจอากาศ พ.ศ. 2564 - 2566,,,,,,,,,
Table 21.12 Annual Rainfall Data by Meteorological Station: 2021 - 2023,,,,,,,,,
,,,,,,,,,
ภาค,สถานีตรวจอากาศ,2564 (2021)_จำนวนวันที่ฝนตก (No. of rainy day),2564 (2021)_ปริมาณฝน (มิลลิเมตร) (Rainfall (Millimetre)),2565 (2022)_จำนวนวันที่ฝนตก (No. of rainy day),2565 (2022)ปริมาณฝน (มิลลิเมตร) (Rainfall (Millimetre)),2566 (2023)_จำนวนวันที่ฝนตก (No. of rainy day),2566 (2023)_ปริมาณฝน (มิลลิเมตร) (Rainfall (Millimetre)),Region,Meteorological station
ภาคใต้ฝั่งตะวันออก,สงขลา,163,2366.4,195,2987.3,170,2325.5,"Southern Part, East Coast",Songkhla
ภาคใต้ฝั่งตะวันออก,ท่าอากาศยานหาดใหญ่,169,1597.0,201,2395.2,179,2063.6,"Southern Part, East Coast",Hat Yai Airport
ภาคใต้ฝั่งตะวันออก,เกาะสมุย,152,2090.1,175,3039.8,133,1723.0,"Southern Part, East Coast",Ko Samui
ภาคใต้ฝั่งตะวันออก,พระแสง,175,1829.3,197,1695.6,151,1457.0,"Southern Part, East Coast",Phra Sang
ภาคใต้ฝั่งตะวันตก,เกาะลันตา,164,2378.9,201,2901.6,143,1533.0,"Southern Part, West Coast",Ko Lanta
ภาคใต้ฝั่งตะวันตก,กระบี่,183,1810.4,185,1975.7,152,1536.0,"Southern Part, West Coast",Krabi
ภาคใต้ฝั่งตะวันตก,ท่าอากาศยานตรัง,196,2301.8,239,2881.7,183,2375.9,"Southern Part, West Coast",Trang Airport
ภาคใต้ฝั่งตะวันตก,ตะกั่วป่า,213,4310.0,233,4462.7,200,4278.0,"Southern Part, West Coast",Takua Pa
ภาคใต้ฝั่งตะวันตก,ภูเก็ต,181,1952.8,213,3047.6,159,2022.9,"Southern Part, West Coast",Phuket
ภาคใต้ฝั่งตะวันตก,ท่าอากาศยานภูเก็ต,199,2874.7,215,3355.3,170,2372.0,"Southern Part, West Coast",Phuket Airport
ภาคใต้ฝั่งตะวันตก,ระนอง,198,5529.9,226,4737.8,191,3861.0,"Southern Part, West Coast",Ranong
ภาคใต้ฝั่งตะวันตก,สตูล,174,2850.5,207,2669.2,179,2741.2,"Southern Part, West Coast",Satun
,,,,,,,,,
หมายเหตุ: ปริมาณฝนตั้งแต่ 0.1 มิลลิเมตร ขึ้นไปถือเป็นวันที่มีฝนตก,,,,,,,,,
Note: Rainy days refer to the day with minimum of rain 0.1 mm.,,,,,,,,,
ที่มา: กรมอุตุนิยมวิทยา  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,
"Source: Thai Meteorological Department,  Ministry of Digital Economy and Society",,,,,,,,,
