ตาราง  2.17  อัตราค่าจ้างขั้นต่ำ พ.ศ. 2556 - 2567,,,,,,,,,,,,,,
Table   2.17  Minimum Wage Rate: 2013 - 2024,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,(บาท/วัน  Baht/day)
ภาค,จังหวัด,ค่าจ้าง (Wage)_2556 (2013)_ม.ค. (Jan.),ค่าจ้าง (Wage)_2560 (2017)_ม.ค. (Jan.),ค่าจ้าง (Wage)_2561 (2018)_เม.ย. (Apr.),ค่าจ้าง (Wage)_2563 (2020)_ม.ค. (Jan.),ค่าจ้าง (Wage)_2565 (2022)_ต.ค. (Oct.),ค่าจ้าง (Wage)_2567 (2024)_ม.ค. (Jan.),อัตราการเปลี่ยนแปลง (Percent change)_2560 (2017)_ม.ค. (Jan.),อัตราการเปลี่ยนแปลง (Percent change)_2561 (2018)_เม.ย. (Apr.),อัตราการเปลี่ยนแปลง (Percent change)_2563 (2020)_ม.ค. (Jan.),อัตราการเปลี่ยนแปลง (Percent change)_2565 (2022)_ต.ค. (Oct.),อัตราการเปลี่ยนแปลง (Percent change)_2567 (2024)_ม.ค. (Jan.),Region,Province
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,300.00,305.00,310.00,315.00,332.00,340.00,1.67,1.64,1.61,5.40,2.41,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,300.00,308.00,320.00,325.00,340.00,350.00,2.67,3.90,1.56,4.62,2.94,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,300.00,305.00,315.00,320.00,328.00,340.00,1.67,3.28,1.59,2.50,3.66,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,300.00,305.00,315.00,320.00,335.00,340.00,1.67,3.28,1.59,4.69,1.49,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,300.00,305.00,320.00,325.00,340.00,348.00,1.67,4.92,1.56,4.62,2.35,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,300.00,305.00,310.00,315.00,332.00,340.00,1.67,1.64,1.61,5.40,2.41,Northeastern Region,Maha Sarakhram
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,300.00,305.00,315.00,320.00,335.00,342.00,1.67,3.28,1.59,4.69,2.09,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,300.00,305.00,318.00,323.00,338.00,342.00,1.67,4.26,1.57,4.64,1.18,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,300.00,305.00,318.00,323.00,338.00,345.00,1.67,4.26,1.57,4.64,2.07,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,300.00,305.00,315.00,320.00,335.00,345.00,1.67,3.28,1.59,4.69,2.99,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,300.00,305.00,318.00,323.00,338.00,345.00,1.67,4.26,1.57,4.64,2.07,Northeastern Region,Mukdahan
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,300.00,305.00,315.00,320.00,335.00,342.00,1.67,3.28,1.59,4.69,2.09,Northeastern Region,Bueng Kan
ภาคใต้,นครศรีธรรมราช,300.00,300.00,310.00,315.00,332.00,342.00,-,3.33,1.61,5.40,3.01,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,300.00,308.00,320.00,325.00,340.00,347.00,2.67,3.90,1.56,4.62,2.06,Southern Region,Krabi
ภาคใต้,พังงา,300.00,308.00,320.00,325.00,340.00,345.00,2.67,3.90,1.56,4.62,1.47,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,300.00,310.00,330.00,336.00,354.00,370.00,3.33,6.45,1.82,5.36,4.52,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,300.00,308.00,320.00,325.00,340.00,345.00,2.67,3.90,1.56,4.62,1.47,Southern Region,Surat Thani
ภาคใต้,ระนอง,300.00,300.00,310.00,315.00,332.00,340.00,-,3.33,1.61,5.40,2.41,Southern Region,Ranong
ภาคใต้,ชุมพร,300.00,300.00,310.00,315.00,332.00,344.00,-,3.33,1.61,5.40,3.61,Southern Region,Chumphon
ภาคใต้,สงขลา,300.00,308.00,320.00,325.00,340.00,345.00,2.67,3.90,1.56,4.62,1.47,Southern Region,Songkhla
ภาคใต้,สตูล,300.00,305.00,310.00,315.00,332.00,340.00,1.67,1.64,1.61,5.40,2.41,Southern Region,Satun
ภาคใต้,ตรัง,300.00,300.00,310.00,315.00,332.00,338.00,-,3.33,1.61,5.40,1.81,Southern Region,Trang
ภาคใต้,พัทลุง,300.00,305.00,315.00,320.00,335.00,341.00,1.67,3.28,1.59,4.69,1.79,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,300.00,300.00,308.00,313.00,328.00,330.00,-,2.67,1.62,4.79,0.61,Southern Region,Pattani
ภาคใต้,ยะลา,300.00,300.00,308.00,313.00,328.00,330.00,-,2.67,1.62,4.79,0.61,Southern Region,Yala
ภาคใต้,นราธิวาส,300.00,300.00,308.00,313.00,328.00,330.00,-,2.67,1.62,4.79,0.61,Southern Region,Narathiwat
,,,,,,,,,,,,,,
ที่มา:  กรมสวัสดิการและคุ้มครองแรงงาน  กระทรวงแรงงาน,,,,,,,,,,,,,,
"Source:  Department of Labour Protection and Welfare,  Ministry of Labour",,,,,,,,,,,,,,
